condition,label,supervision_end_step,step,n_models,local_top_branch_counts_json,induction_top_branch_counts_json,train_loss_mean,train_loss_std,eval_loss_mean,eval_loss_std,local_loss_mean,local_loss_std,induction_loss_mean,induction_loss_std,local_accuracy_mean,local_accuracy_std,induction_accuracy_mean,induction_accuracy_std,same_top_branch_mean,same_top_branch_std,routed_role_match_mean,routed_role_match_std,branch_distribution_distance_mean,branch_distribution_distance_std,gate_routed_role_match_mean,gate_routed_role_match_std,gate_distribution_distance_mean,gate_distribution_distance_std,local_gate_entropy_mean,local_gate_entropy_std,induction_gate_entropy_mean,induction_gate_entropy_std,global_gate_entropy_mean,global_gate_entropy_std,global_gate_branch0_mean,global_gate_branch0_std,global_gate_branch1_mean,global_gate_branch1_std,global_gate_balance_error_mean,global_gate_balance_error_std,gate_target_nll_mean,gate_target_nll_std,local_gate_branch0_mean,local_gate_branch0_std,local_gate_branch1_mean,local_gate_branch1_std,induction_gate_branch0_mean,induction_gate_branch0_std,induction_gate_branch1_mean,induction_gate_branch1_std,local_branch0_loss_delta_mean,local_branch0_loss_delta_std,local_branch1_loss_delta_mean,local_branch1_loss_delta_std,induction_branch0_loss_delta_mean,induction_branch0_loss_delta_std,induction_branch1_loss_delta_mean,induction_branch1_loss_delta_std
always_label_0.05,always,1600,1200,5,"{""0"": 5}","{""1"": 5}",0.017598258331418037,0.0019543308671591147,0.003739842033246532,0.0009718641139177866,0.004490747605450452,0.0018940346436140643,0.0029889363737311213,0.0007231574983388593,0.999072265625,0.0006440872049937949,0.999658203125,0.0002489755621871477,0.0,0.0,1.0,0.0,0.8700999079862806,0.052143594786361394,1.0,0.0,0.5538944907486438,0.0367046602739795,0.5449261933565139,0.021183718376612246,0.4861494481563568,0.028467241451959415,0.5766746312379837,0.013191260341357675,0.4012172058224678,0.012353633278783454,0.5987828522920609,0.012353643989957306,0.19756564646959304,0.02470727726873751,0.25705248266458514,0.02440121330141706,0.7549053370952606,0.019154393537711756,0.24509466513991357,0.019154394033966262,0.2010108523070812,0.02148734452569709,0.7989891618490219,0.021487344285904177,0.777858639205806,0.19134490039651664,0.08062129120808095,0.031455548767045954,0.03564028097898699,0.012362494640983348,1.3166918139962944,0.2680098998842649
always_label_0.05,always,1600,1201,5,"{""0"": 5}","{""1"": 5}",0.016257673501968384,0.0024507839217272013,0.0034772660757880656,0.0005865805660469521,0.004031761991791427,0.0013600423649756414,0.002922770113218576,0.0008557455900947155,0.99921875,0.0005437269885576194,0.999462890625,0.00042003541342981574,0.0,0.0,1.0,0.0,0.8744441037612253,0.04955096019543002,1.0,0.0,0.5547860454767942,0.036708060709963145,0.5444519013166428,0.02122210804704934,0.48555552363395693,0.02834518069302305,0.5763941794633866,0.013150749277536245,0.4011190041899681,0.012210026070139162,0.5988810360431671,0.012210029679383595,0.19776203185319902,0.02442005574952139,0.2564596861600876,0.02439027637088505,0.7553307443857193,0.019142289854248297,0.24466926604509354,0.019142290136028313,0.20054469332098962,0.021349360627556453,0.7994553059339523,0.021349355576708747,0.7813473557354882,0.1894768609136578,0.07841147326398641,0.030098292018415188,0.03399780018953606,0.01121073631081477,1.3192914220388048,0.2693157653996508
always_label_0.05,always,1600,1400,5,"{""0"": 5}","{""1"": 5}",0.018607655167579652,0.007082536800888508,0.0077903805708047,0.004915593912995062,0.005219483829569072,0.002383546259922091,0.010361277387710288,0.008785425135982381,0.999072265625,0.0007142938885902244,0.997998046875,0.0018099368157080702,0.0,0.0,1.0,0.0,0.9499468709346791,0.02749261394671142,1.0,0.0,0.6779433429241181,0.028142196783018658,0.4618079409003258,0.016553967692737034,0.39684218913316727,0.0407850323631129,0.5368042111396789,0.010121485604863156,0.3973909988999367,0.013572341352313878,0.6026090443134308,0.013572344480934766,0.20521804541349412,0.02714468583324825,0.17802874818444253,0.017025933427027667,0.8196677237749099,0.011145687277433768,0.18033228889107705,0.011145676169047589,0.14172437712550162,0.024188624439800195,0.8582756280899048,0.024188631975692522,1.2473866130341775,0.1602962814761963,0.04743909841636196,0.026836232054297995,0.021141806634841488,0.008557748875778044,2.066136360837845,0.5053554902009214
always_label_0.05,always,1600,1600,5,"{""0"": 5}","{""1"": 5}",0.009293057024478912,0.0006553009525852606,0.004274030955275521,0.0009967818311123727,0.005199374066432938,0.001686740734037636,0.00334868777426891,0.0008541666243453515,0.9986328125,0.00078125,0.999658203125,0.00019531250000000004,0.0,0.0,1.0,0.0,0.9772936371444562,0.009569248234871248,1.0,0.0,0.7497467497363687,0.015318220121963514,0.4058150827884674,0.014208637500829797,0.3290635958313942,0.02912570484208204,0.5093245789408684,0.015208641549920238,0.3937668189406395,0.01853007097864092,0.6062332361936569,0.018530069691688338,0.21246641725301743,0.03706014067032671,0.1351205475628376,0.008701000189752263,0.8549167722463608,0.008472141063889467,0.14508325159549712,0.008472140566009433,0.10517001561820508,0.013249974490236686,0.8948299944400787,0.013249987141298582,1.4529382513894233,0.29077248258569144,0.027259538049111142,0.010220938099597551,0.006225307617569342,0.003424886105997003,2.7638061011966784,0.5118358172538933
anneal_label_end1200,end 1200,1200,0,5,"{""0"": 3, ""1"": 2}","{""0"": 5}",nan,nan,5.241975593566894,0.004385966057714016,5.238694548606873,0.005445149713017928,5.2452565908432005,0.004779943319418788,0.00634765625,0.00034526698300124393,0.0064453125,0.0009959022487485909,0.6,0.48989794855663565,0.0,0.0,0.39026660978015537,0.2957339064002311,0.0,0.0,0.0,0.0,0.6230439722537995,0.0091777957870895,0.6230439722537995,0.0091777957870895,0.6217005550861359,0.009464289008373565,0.5001148849725723,0.03404159333679533,0.499885168671608,0.03404159812351147,0.05567740797996521,0.039209412383202864,0.7733239829540253,0.012498168503962376,0.4949400320649147,0.026055598556292907,0.5050599649548531,0.02605560520077262,0.4949400320649147,0.026055598556292907,0.5050599649548531,0.02605560520077262,0.0012431383132934571,0.0007665031670865035,0.0008589029312133789,0.0010666098907339808,0.0009370326995849609,0.000915204122728114,0.0005862951278686523,0.000862009467899062
anneal_label_end1200,end 1200,1200,50,5,"{""0"": 4, ""1"": 1}","{""0"": 3, ""1"": 2}",4.957307815551758,0.011719520380233708,4.910072159767151,0.009605190782910947,4.893737816810608,0.013074167456086205,4.92640643119812,0.006800838364364395,0.041357421875,0.005127185634608745,0.035595703125,0.005548817469080758,0.8,0.4000000000000001,0.2,0.4000000000000001,0.06692976414918221,0.016970906197876112,0.8,0.4,0.0518669381737709,0.006274463163731739,0.6715590924024581,0.0022373994430718845,0.6724717855453491,0.0020048893431061873,0.671329465508461,0.0025837218815822688,0.5064372897148133,0.02321276891448546,0.49356274455785754,0.02321277372273107,0.03615366369485855,0.031860622973534675,0.6612446337938309,0.005752914262529542,0.5307601630687714,0.017636735511683616,0.46923983842134476,0.017636737284041137,0.47889323234558107,0.017543554188272133,0.5211067840456962,0.0175435450135665,0.126548171043396,0.010765585077664185,0.10449588298797607,0.00966086100365283,0.10040695667266845,0.01001430380359095,0.10823802947998047,0.007374754097775441
anneal_label_end1200,end 1200,1200,100,5,"{""0"": 5}","{""0"": 1, ""1"": 4}",4.103397464752197,0.013719464380228193,4.047141027450562,0.01949870407080264,3.787704384326935,0.02883270315342746,4.306577682495117,0.01614883240986226,0.27099609375,0.008628911997083872,0.13115234375,0.004589324272464524,0.2,0.4000000000000001,0.8,0.4000000000000001,0.05351934067197448,0.03252179175488935,1.0,0.0,0.07227655723690987,0.014241658946443934,0.683910784125328,0.0023013483843410884,0.6840365350246429,0.0015447820695110514,0.684163698554039,0.0013174362940861705,0.4958637088537216,0.011172651536984683,0.5041363418102265,0.011172651585251528,0.021401122212409973,0.010475733659605767,0.6291133821010589,0.012972455436944665,0.5360123038291931,0.010669960371211845,0.4639877021312714,0.010669953204152965,0.4637357458472252,0.006567937868516505,0.5362642586231232,0.006567946489021505,0.5866016268730163,0.029015127358640203,0.5031637072563171,0.026494082198126573,0.3368475914001465,0.01432581937474549,0.3581721067428589,0.01651452151007742
anneal_label_end1200,end 1200,1200,200,5,"{""0"": 4, ""1"": 1}","{""0"": 1, ""1"": 4}",1.5479477643966675,0.09344102527641172,1.4718638598918914,0.11097577514796572,0.5337264060974121,0.11681589913968733,2.4100013256072996,0.11710501622840833,0.9119140625,0.02729592637071596,0.436767578125,0.02965077588254668,0.4,0.48989794855663565,0.6,0.48989794855663565,0.11094068705004316,0.055169324124247576,0.8,0.4,0.06735003367066383,0.018891405591082284,0.6889369577169419,0.0028041842212848957,0.6844099909067154,0.004292212662067476,0.6875180780887604,0.001352951894920677,0.4827021241188049,0.017568768165448972,0.5172979190945626,0.01756877039361414,0.04585950821638107,0.01812239366490951,0.6316703021526336,0.016248781907590885,0.5273704454302788,0.02254015476698175,0.47262957096099856,0.02254016049408943,0.4600204020738602,0.01442476222618475,0.5399795949459076,0.014424774814709749,1.5816559135913848,0.15078676904402313,1.2178656816482545,0.27311242638763833,1.0075027585029601,0.06806004747135541,1.1973169445991516,0.10020698682067726
anneal_label_end1200,end 1200,1200,400,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.04019940420985222,0.0007699261502295961,0.010013677831739187,0.001323342277963714,0.01141123443376273,0.0019236284673586515,0.008616121229715645,0.0010829776865338273,0.999072265625,0.0005437269885576194,0.998974609375,0.000565226411269054,1.0,0.0,0.0,0.0,0.152542807161818,0.021579089472702827,1.0,0.0,0.11274729147553444,0.008922837161211635,0.683178973197937,0.0028942472188687647,0.675316932797432,0.003773643118165987,0.6795326083898544,0.002217778306624845,0.4632719159126282,0.016266591874172953,0.5367281287908554,0.01626659575338306,0.07345621287822723,0.032533187627554534,0.5927261352539063,0.00763406967288598,0.5568827688694,0.012556248630497542,0.4431172415614128,0.012556249959656046,0.44413547217845917,0.012819143529242218,0.5558645278215408,0.01281913844937776,0.7596257004188374,0.12939899639972216,0.5274118292378261,0.13459461619140994,0.5432906984118745,0.11534741045964805,0.70936725276988,0.17936012484729855
anneal_label_end1200,end 1200,1200,401,5,"{""0"": 3, ""1"": 2}","{""0"": 2, ""1"": 3}",0.041221161186695096,0.0037963957587837734,0.009868435957469047,0.0016255272777580953,0.011401809402741492,0.002296796853689967,0.008335062745027244,0.0011598179592175397,0.998974609375,0.0006800970838468809,0.99912109375,0.0005694288959809863,0.8,0.4000000000000001,0.2,0.4000000000000001,0.1524028976484389,0.022044939562599657,1.0,0.0,0.11325220614671708,0.008950050716767046,0.6831172317266464,0.00290619983290055,0.6751833826303482,0.0038037948666353833,0.6794276267290116,0.0022270535857590425,0.463054022192955,0.016272590073155426,0.5369460165500641,0.016272592008026894,0.07389199435710907,0.03254518208118053,0.5923032134771347,0.007654493995628598,0.5570718765258789,0.012549920708440614,0.44292813539505005,0.012549932473341479,0.4438196629285812,0.012864496554396072,0.5561803340911865,0.012864513134163345,0.7572268534218892,0.12634768478571137,0.5274675864493474,0.1333175573356332,0.5406399012776092,0.11283939410053288,0.7075431839795783,0.17772351225536834
anneal_label_end1200,end 1200,1200,600,5,"{""0"": 5}","{""1"": 5}",0.034515127167105676,0.0026684632180221063,0.007947594532743097,0.0021318780640562597,0.008882739278487862,0.002476600707275768,0.007012449612375349,0.0019244785911033224,0.998095703125,0.0007627196949127592,0.998583984375,0.0006800970838468809,0.0,0.0,1.0,0.0,0.30556887797441246,0.03652846290854325,1.0,0.0,0.21831122636795045,0.016586662375673588,0.6622593492269516,0.0030134915186378055,0.6416459411382676,0.010339145502689922,0.6524586498737335,0.007958268593795344,0.4301161393523216,0.01787242062325033,0.5698839098215103,0.017872410662275875,0.1397677704691887,0.035744831285523054,0.508494982123375,0.012601739251363146,0.6040119051933288,0.007700628789193135,0.3959881067276001,0.007700622754553592,0.38570067584514617,0.01549495909478607,0.6142993301153183,0.01549496161296319,0.6496826687129215,0.09658967329938765,0.3387679809005931,0.09619049895595272,0.33656295273685827,0.08403235686321063,0.648223347554449,0.18933945695389698
anneal_label_end1200,end 1200,1200,800,5,"{""0"": 5}","{""1"": 5}",0.028683210164308547,0.002683692952937294,0.005981567245908081,0.0019251370379808049,0.007179372105747461,0.0022169937045242237,0.004783762339502573,0.0016813800840630277,0.998583984375,0.0007142938885902244,0.999169921875,0.0005027163154778809,0.0,0.0,1.0,0.0,0.499606153370055,0.05987521074105178,1.0,0.0,0.3057796709239483,0.029955322580520364,0.6407459646463394,0.010446840413694099,0.6103656530380249,0.014090478254464429,0.6345038205385208,0.007021215102910952,0.4178745150566101,0.014222124595992813,0.5821255266666412,0.014222129824720691,0.16425101161003114,0.028444254420712193,0.43880830854177477,0.022850516782396302,0.6416309952735901,0.017342924694988854,0.3583690121769905,0.017342923427998175,0.33585132360458375,0.016569976510667467,0.6641486823558808,0.016569981568098063,0.6243933736346662,0.13000153682647506,0.21260023778304457,0.07658796986711372,0.1961949142627418,0.05840091153741705,0.6512893921695649,0.1678279465990468
anneal_label_end1200,end 1200,1200,801,5,"{""0"": 5}","{""1"": 5}",0.026824311539530753,0.0025540557345852984,0.005656814156100154,0.0015112108683040231,0.006713408755604178,0.001754139548662743,0.004600219649728387,0.0013264741167249555,0.9984375,0.0006291063831408753,0.99912109375,0.0005258950006967289,0.0,0.0,1.0,0.0,0.5007204421007092,0.056953641985483965,1.0,0.0,0.30654455050826074,0.029865414388674915,0.6405165255069732,0.010409349165081211,0.6100489318370819,0.014040793302944986,0.6343009918928146,0.0069967372336940965,0.4177420362830162,0.014202744389443958,0.5822579950094223,0.014202752463954114,0.1645159587264061,0.02840549685339711,0.43822548985481263,0.022789488003862574,0.6419828057289123,0.017294201231742485,0.358017198741436,0.017294203886246945,0.3354382574558258,0.016452254628587452,0.664561751484871,0.01645225541925158,0.6221293801791035,0.12702064516438455,0.21129805020755157,0.0754548160080687,0.19605491288239135,0.058510824899382086,0.6510585708194412,0.16608262326703832
anneal_label_end1200,end 1200,1200,1000,5,"{""0"": 5}","{""1"": 5}",0.02188202627003193,0.00235341201256746,0.006304954877123237,0.0016428996188916057,0.00674099107272923,0.0032468749171782976,0.005868918786291033,0.0018836606345842034,0.998388671875,0.0012788868021199995,0.998876953125,0.0004256737249551439,0.0,0.0,1.0,0.0,0.7237541177529844,0.05207141328591279,1.0,0.0,0.4309839941561222,0.02240567573531886,0.5943686366081238,0.010737958900473174,0.5609346479177475,0.016610387174049793,0.6068443208932877,0.011001062486758724,0.4099718570709229,0.018929179751682575,0.5900281846523285,0.018929183611231096,0.18005632758140563,0.03785836336291311,0.3437032178044319,0.01608789902099075,0.7040362924337387,0.013048797191684074,0.2959637150168419,0.013048798562027142,0.2730522990226746,0.012336308115281127,0.7269477099180222,0.012336303245401303,0.7224678687285632,0.0968226387371144,0.1279191560577601,0.0448352646529647,0.10727727602934464,0.033710531574635175,0.8327004511258564,0.19934155485201294
anneal_label_end1200,end 1200,1200,1200,5,"{""0"": 5}","{""1"": 5}",0.017598258331418037,0.0019543308671591147,0.003739842033246532,0.0009718641139177866,0.004490747605450452,0.0018940346436140643,0.0029889363737311213,0.0007231574983388593,0.999072265625,0.0006440872049937949,0.999658203125,0.0002489755621871477,0.0,0.0,1.0,0.0,0.8700999079862806,0.052143594786361394,1.0,0.0,0.5538944907486438,0.0367046602739795,0.5449261933565139,0.021183718376612246,0.4861494481563568,0.028467241451959415,0.5766746312379837,0.013191260341357675,0.4012172058224678,0.012353633278783454,0.5987828522920609,0.012353643989957306,0.19756564646959304,0.02470727726873751,0.25705248266458514,0.02440121330141706,0.7549053370952606,0.019154393537711756,0.24509466513991357,0.019154394033966262,0.2010108523070812,0.02148734452569709,0.7989891618490219,0.021487344285904177,0.777858639205806,0.19134490039651664,0.08062129120808095,0.031455548767045954,0.03564028097898699,0.012362494640983348,1.3166918139962944,0.2680098998842649
anneal_label_end1200,end 1200,1200,1201,5,"{""0"": 5}","{""1"": 5}",0.0034171689301729204,0.0013446170471629658,0.0034747584140859544,0.0005860326793333937,0.004028923733858392,0.001359480969955527,0.0029205930710304528,0.0008552754946097491,0.99921875,0.0005437269885576194,0.999462890625,0.00042003541342981574,0.0,0.0,1.0,0.0,0.8743112605029175,0.049598320001576324,1.0,0.0,0.5545974832028151,0.03671925946267635,0.5445762544870376,0.021223594316261564,0.48567492663860323,0.02834966834630974,0.576467776298523,0.013152615735385911,0.4011434897780418,0.012214289376780384,0.5988565564155579,0.01221429959576717,0.19771306663751603,0.024428588972541784,0.25658188611268995,0.024399676695797373,0.7552239030599595,0.01915231435327336,0.24477609544992446,0.019152307649746958,0.20062642619013787,0.021359309580571133,0.7993735849857331,0.021359307449202683,0.7806407556694467,0.18941407877294247,0.07842921882984229,0.03010666512374569,0.034005813457770276,0.011212876444548851,1.3182950990914832,0.26925833591794057
